Country,Code,RHD_DALYs_averted,Invasive_infection_DALYs_averted,Impetigo_DALYs_averted,Pharyngitis_DALYs_averted,Cellulitis_DALYs_averted,numVaxx
Afghanistan,AFG,806210.179,25171.11301,582.2598576,5827.530457,234.977936,18627278.29
Albania,ALB,37697.45785,797.4376203,16.37304121,164.317036,7.927818587,523282.2124
Algeria,DZA,742304.2908,30084.51139,620.3994904,6223.451582,251.048666,19821653.8
Angola,AGO,3284545.569,37957.42231,915.6586208,9141.885549,462.1336245,29392233.59
Antigua and Barbuda,ATG,560.5022016,45.68177259,0.957532574,9.612688389,1.149541138,30592.67037
Argentina,ARG,980139.6136,22893.48474,477.7779786,4795.998929,250.9830096,15260319.2
Armenia,ARM,50692.40191,1048.525035,22.59108722,226.7161614,9.473429345,721761.5608
Australia,AUS,3418.555432,13243.87103,258.2123326,2593.307116,527.2877408,8245507.07
Austria,AUT,192.8437229,2809.019271,55.3594919,556.0167464,45.43461595,1767803.078
Azerbaijan,AZE,192212.297,4195.715962,92.50371009,927.5186798,38.81135455,2956888.622
Bahamas,BHS,2069.343444,166.6484516,3.650845699,36.65089019,4.38088058,116621.3433
Bahrain,BHR,104.9027788,768.9924108,16.07670697,161.4067192,6.541655188,513550.2616
Bangladesh,BGD,1894904.715,80003.43533,1714.853622,17195.46266,716.8041625,54815796.42
Barbados,BRB,1249.829643,99.45776668,2.021401546,20.28805194,2.61848462,64576.20454
Belarus,BLR,201.4057573,302.7408395,6.48068119,65.08610522,6.860223092,206967.0174
Belgium,BEL,401.7788745,4749.699256,93.98531054,943.956968,58.77929833,3001338.217
Belize,BLZ,14127.31989,263.912287,5.639461001,56.59413618,6.744146611,180152.2013
Benin,BEN,759633.6997,13484.67446,324.2952726,3223.796621,162.658049,10476968.1
Bhutan,BTN,7963.417597,317.3352771,6.859181471,68.76288578,2.865413419,219334.446
Bolivia (Plurinational State of),BOL,363864.4966,6956.343672,150.7455003,1507.525059,169.9952202,4839386.64
Bosnia and Herzegovina,BIH,106.1000799,466.6031277,9.594842547,96.35398264,4.632340043,306397.9897
Botswana,BWA,124622.8202,1762.299614,40.5184607,405.7692039,35.8947015,1296580.62
Brazil,BRA,3872965.056,70208.75796,1460.113678,14655.13015,2352.296684,46639845.24
Brunei Darussalam,BRN,22.74248868,180.0111976,3.797552741,38.11630232,8.436392219,121338.4326
Bulgaria,BGR,430.807437,1714.71923,36.8303621,369.7991633,17.77092999,1176294.711
Burkina Faso,BFA,1557951.602,28351.92437,681.8835673,6801.705456,346.0769461,21943031.95
Burundi,BDI,1188066.158,16203.07125,393.8131326,3929.026263,126.5303398,12663485.56
Côte d'Ivoire,CIV,1633825.295,28565.43168,732.6478537,7282.433459,368.9017815,23651806.1
Cabo Verde,CPV,17676.72124,302.0242322,6.590723877,66.12602945,3.309822651,210592.0029
Cambodia,KHM,320190.2144,10358.36969,233.634306,2342.187288,113.6086604,7469209.112
Cameroon,CMR,1565469.052,27753.21636,685.4733799,6828.191914,345.0190188,22076734.3
Canada,CAN,2709.213368,15551.85847,305.6575316,3069.444363,715.9450306,9761660.207
Central African Republic,CAF,220811.6735,2460.360571,64.90957589,643.4004254,32.83733086,2103420.499
Chad,TCD,561485.0684,10207.39143,264.7146262,2616.64208,133.0830919,8616151.291
Chile,CHL,1265.085515,7219.312364,143.3852209,1439.781109,75.23426938,4579036.256
China,CHN,13157362.23,498148.8679,10306.97909,103467.9702,1542.262426,329214742
Colombia,COL,15844.43989,20059.53173,412.8465323,4143.256144,732.2128095,13188528.44
Comoros,COM,63492.02919,876.8398332,20.91377645,208.8590523,6.711996407,670309.7719
Congo,COG,515293.872,5781.425633,139.2199672,1392.052313,70.16692534,4464057.811
Costa Rica,CRI,112607.4698,2092.211461,41.79075808,419.5422903,74.12598385,1334958.733
Croatia,HRV,33.09010697,1006.977618,20.49072229,205.7959625,6.64599402,654308.5014
Cuba,CUB,175516.3428,3288.851932,66.85262053,671.2921076,80.22262904,2135223.813
Cyprus,CYP,24.13789921,432.9334295,8.594034253,86.31269933,2.50639145,274434.7569
Czechia,CZE,166.5470201,3786.129863,76.52159823,768.5814064,44.5519171,2443571.262
Dem. People's Republic of Korea,PRK,341759.5764,10300.62135,224.8212479,2255.237212,47.42506101,7187532.435
Democratic Republic of the Congo,COD,10646329.36,121426.001,2930.000505,29127.83496,1476.742457,94534785.09
Denmark,DNK,117.2901443,2553.751711,50.81114926,510.3519287,15.80050934,1622451.05
Djibouti,DJI,36519.32276,501.7559201,11.56189425,115.6054463,3.716752117,371015.0899
Dominican Republic,DOM,286449.056,5436.360237,115.9002678,1162.38511,137.9731595,3702212.264
Ecuador,ECU,518109.7134,10040.80063,205.913491,2066.387489,242.5682689,6578750.565
Egypt,EGY,3191367.673,97065.8283,2140.496829,21474.26012,867.0754325,68411539.85
El Salvador,SLV,133149.494,2519.886305,54.05642635,542.5326874,95.83427297,1726717.412
Equatorial Guinea,GNQ,37547.48718,448.015365,11.07859214,110.3657579,5.600472299,356711.1897
Eritrea,ERI,313717.5802,3804.023069,88.35210389,885.317691,28.34638251,2826613.564
Estonia,EST,59.93431319,393.724367,8.065460442,81.00675783,8.534026388,257571.4532
Eswatini,SWZ,57329.1108,815.163728,20.45204623,204.4847326,18.14483827,655560.1115
Ethiopia,ETH,6429479.03,97040.41921,2203.116895,22048.16015,723.8617156,70630671.77
Fiji,FJI,29838.73125,553.3777146,13.1367497,131.6846604,4.109817786,420050.8395
Finland,FIN,83.13178376,1802.655519,35.63343898,357.9107602,13.4888142,1137897.115
France,FRA,1801.93459,26896.07434,526.2839603,5285.732292,251.5394667,16805942.28
Gabon,GAB,146740.4136,1737.89673,40.77846992,407.8614644,20.55196211,1307246.586
Gambia,GMB,192594.4781,3252.526185,78.83905322,786.713693,39.59730227,2535342.682
Georgia,GEO,68478.68892,1422.15008,31.02537162,311.5111731,12.82705124,990694.2731
Germany,DEU,1855.771532,26728.21118,530.5628163,5328.807285,363.9952,16942725.51
Ghana,GHA,1756275.314,31249.84,753.382418,7526.721877,379.0285283,24189869.46
Greece,GRC,177.8318634,2699.033985,53.13767246,533.6642244,25.47221092,1697079.871
Grenada,GRD,2471.748539,46.01984592,1.017936302,10.21542219,1.215205976,32510.40054
Guatemala,GTM,692454.1459,13095.37918,276.1720982,2770.031796,488.2004407,8827879.415
Guinea,GIN,400391.5238,8574.55484,206.1838197,2056.788964,103.550063,6634693.089
Guinea-Bissau,GNB,118233.839,2041.417498,51.44356743,512.3008629,25.83860625,1657370.83
Guyana,GUY,20724.21352,383.3489196,8.776515276,87.87482516,10.45998625,280845.7327
Haiti,HTI,260245.2309,4825.707859,113.0654593,1126.999171,136.7593061,3640104.28
Honduras,HND,331616.5765,6234.171286,131.2900755,1316.326183,232.4417739,4200025.439
Hungary,HUN,166.0777661,2938.064934,61.33500995,616.0016895,29.61234875,1958577.992
Iceland,ISL,11.56630334,137.8728582,2.690170208,27.02041819,2.852034424,85913.61056
India,IND,16923213.14,640440.9417,14426.72683,144561.5819,6295.289408,461384836.5
Indonesia,IDN,1045144.509,119430.3191,2605.563406,26129.78668,1299.141311,83315543.25
Iran (Islamic Republic of),IRN,1329944.859,46388.21563,960.1147714,9637.911128,475.4116188,30666824.83
Iraq,IRQ,1269433.958,39788.84904,898.0951435,9004.062984,363.2918251,28705388.93
Ireland,IRL,150.3492032,2191.744922,43.07625493,432.6648637,20.59663212,1375514.097
Israel,ISR,552.3955402,7832.958571,153.0248568,1536.938486,73.29378237,4886661.77
Italy,ITA,2374.902084,15709.17355,305.541185,3068.899797,146.3374149,9756452.806
Jamaica,JAM,65993.26092,1220.43148,26.40254006,264.8892386,31.48788545,843814.2983
Japan,JPN,3559.854738,32616.86277,626.1411514,6288.722328,1729.056192,19996550.43
Jordan,JOR,3335.866207,6332.722554,135.3625267,1358.408345,76.57985152,4324218.141
Kazakhstan,KAZ,11555.48969,12762.22017,277.9768255,2790.467927,115.9791084,8880591.462
Kenya,KEN,3403135.29,51343.96965,1199.339779,12003.87027,394.3691959,38411400.09
Kiribati,KIR,7671.481798,105.2637798,2.396815593,23.98220235,0.750792188,76752.16231
Kuwait,KWT,278.7661879,2212.951137,47.48297612,476.747122,19.23022275,1516495.782
Kyrgyzstan,KGZ,228539.8842,4888.678478,109.6247121,1100.049023,45.72746308,3502307.592
Lao People's Democratic Republic,LAO,132381.4391,3124.238705,70.46832738,706.0301022,34.45249296,2252732.021
Latvia,LVA,89.92864566,534.8573258,11.42531876,114.7087454,12.57137761,365063.1159
Lebanon,LBN,1513.257828,2347.877653,47.21281619,473.9254743,19.11658729,1507966.812
Lesotho,LSO,92398.92591,1312.650128,34.28552745,341.9849075,30.43211966,1102237.068
Liberia,LBR,316486.8476,5410.119552,128.2357577,1280.28596,64.35642318,4118046.613
Libya,LBY,117706.5484,3713.179076,81.41194031,817.1226466,33.04433708,2600871.704
Lithuania,LTU,102.0980953,716.2665341,15.10542525,151.6949365,15.36483249,482399.0394
Luxembourg,LUX,30.32381007,295.7276992,5.812583559,58.37744841,2.116377754,185630.848
Madagascar,MDG,2139182.973,29541.32303,673.6581812,6747.902724,215.6790405,21572234.57
Malawi,MWI,1857621.387,24376.03033,569.8761632,5706.045105,182.2536911,18248200.83
Malaysia,MYS,593939.5905,16957.67776,357.0501054,3584.752854,173.144275,11404489.82
Maldives,MDV,7237.814013,211.4938365,4.208753718,42.26241319,2.044386538,134412.7909
Mali,MLI,1479260.034,23271.05288,573.6863366,5695.588122,288.980151,18568851.73
Malta,MLT,7.29982393,144.7315737,2.823652346,28.35367743,2.101472607,90177.6994
Mauritania,MRT,286970.9238,5075.394037,120.3916363,1199.624032,60.46426592,3877193.254
Mauritius,MUS,13049.61427,380.2737851,8.129753164,81.59700433,3.960854623,259690.5398
Mexico,MEX,1162327.667,59493.6784,1251.09769,12556.8171,2788.667395,39962429.68
Micronesia,FSM,16117.85529,222.4880911,4.807218273,48.17230554,1.507781809,153767.2629
Mongolia,MNG,117909.9866,2409.609197,54.28789862,544.6470663,22.68436799,1734868.438
Montenegro,MNE,45.23449925,193.763453,4.018163105,40.3577661,1.94618736,128309.8253
Morocco,MAR,727744.7169,22370.67891,461.4591873,4630.378396,187.486639,14742632.97
Mozambique,MOZ,2935502.82,38316.21819,922.4314249,9225.088399,299.0410293,29565307.38
Myanmar,MMR,985966.3856,24590.53998,572.8023961,5733.904178,279.3616829,18333941.05
Namibia,NAM,147734.1469,2143.815983,51.17817115,512.5745652,45.41003917,1638111.442
Nepal,NPL,290792.416,12713.37353,279.3378024,2800.525999,116.3058988,8927677.801
Netherlands,NLD,419.0297819,6141.557304,120.6627622,1211.985155,57.69472252,3852871.851
New Zealand,NZL,737.3750799,2188.484929,43.12587119,433.0714891,133.1404025,1377389.913
Nicaragua,NIC,228686.2269,4135.99115,87.60577665,878.9424469,155.1240403,2799338.431
Niger,NER,2859437.012,51209.66431,1219.24342,12153.65178,612.0939521,39317165.98
Nigeria,NGA,9318454.773,163680.1464,4251.169341,42148.76129,2182.136604,137832877.9
North Macedonia,MKD,132.2323969,552.3541547,11.66153779,117.0819613,5.64430174,372391.3941
Norway,NOR,122.2957359,2601.03395,51.15876163,513.8667546,18.18841964,1633559.702
Oman,OMN,396.3366233,2862.668642,57.97214965,582.0666499,23.54348781,1851462.122
Pakistan,PAK,4457007.328,144799.3963,3334.225007,33305.10848,1418.438474,106829467.4
Panama,PAN,135373.7034,2648.342916,53.61369687,537.8384678,94.84635459,1713806.449
Papua New Guinea,PNG,371999.7144,5255.913769,126.4562632,1265.423227,39.68387798,4048916.563
Paraguay,PRY,220525.4981,4036.560273,87.44053523,876.985887,96.57991727,2793642.696
Peru,PER,810827.0921,15802.87466,324.5115515,3256.432231,366.3524478,10369904.73
Philippines,PHL,1191099.995,46359.68739,1028.604018,10307.35289,547.2452,32921587.11
Poland,POL,877.6269564,10497.45586,213.3994616,2143.281759,66.41134229,6814461.043
Portugal,PRT,236.0626635,2864.680519,56.31411757,565.6480746,19.3160191,1798118.204
Qatar,QAT,128.5681585,1021.496129,20.45275189,205.3522114,8.283978417,653245.6673
Republic of Korea,KOR,1199.551991,12162.68057,237.1410448,2381.822783,526.5217051,7572674.231
Republic of Moldova,MDA,634.0903137,928.5854354,20.76992497,208.4657105,21.97446027,663453.1217
Romania,ROU,1700.160331,4905.297466,102.8012043,1032.233832,69.0171116,3283168.23
Russian Federation,RUS,67054.27866,53497.70341,1176.128371,11809.93449,1260.743751,37564465.61
Rwanda,RWA,1047684.756,14685.3694,330.6355178,3313.089429,106.3151101,10579700.17
Saint Lucia,LCA,3008.01931,54.18206682,1.142107765,11.45785666,1.374918187,36504.85949
Saint Vincent and the Grenadines,VCT,2215.821519,40.84244488,0.902722532,9.059476667,1.09026137,28829.90374
Samoa,WSM,4728.362211,64.31970237,1.401793373,14.06838316,0.437990949,44783.98292
Sao Tome and Principe,STP,16400.85633,273.5181566,6.155353642,61.68870855,3.111610766,196852.3936
Saudi Arabia,SAU,2460.561793,17281.68396,368.5698881,3700.220342,149.0703982,11772802.57
Senegal,SEN,1141666.912,19602.04317,449.6138526,4502.100148,226.0977655,14399192.67
Serbia,SRB,403.9543361,2197.738812,46.43200319,466.3058946,23.71361247,1482715.235
Seychelles,SYC,389.7880847,48.41627455,1.058863333,10.62486195,0.513710403,33837.01064
Sierra Leone,SLE,389832.4305,6635.999039,172.9582982,1717.186327,86.660872,5585379.184
Singapore,SGP,170.2009957,1703.244481,33.02187118,331.6794747,73.20145652,1054481.778
Slovakia,SVK,127.688534,1669.428236,34.50999882,346.5537351,18.80696985,1102098.921
Slovenia,SVN,24.26774197,659.8048307,13.08129969,131.3901475,6.403086675,417740.2662
Solomon Islands,SLB,60611.08963,833.6118676,18.37595014,184.2734057,5.735441371,587554.3678
Somalia,SOM,909442.1018,12224.03347,305.2347359,3026.011128,97.82489725,9897297.222
South Africa,ZAF,1912125.255,26320.08658,638.5978259,6394.876444,564.4001301,20440511.66
South Sudan,SSD,455857.6998,6628.486142,166.5784694,1654.508758,53.57397901,5383583.944
Spain,ESP,910.4791902,13262.17278,257.3455868,2584.822272,123.4475775,8217665.773
Sri Lanka,LKA,10809.34685,9870.285502,203.4989489,2043.187561,98.68995576,6499127.726
Sudan,SDN,1749912.776,52145.45626,1225.891773,12238.37089,496.3141508,39396554.41
Suriname,SUR,15864.39543,303.7054436,6.745114213,67.67172869,8.219562136,215473.5609
Sweden,SWE,230.8711053,4808.230562,93.9131302,943.3032697,31.84618715,2998820.992
Switzerland,CHE,317.8699952,3552.709711,68.68798557,689.8911502,29.3092966,2193209.082
Syrian Arab Republic,SYR,259701.5048,8418.038709,174.8074378,1755.4897,70.76374782,5581337.659
Tajikistan,TJK,525487.6874,10951.70182,242.6370264,2434.044654,101.2819885,7749233.625
Thailand,THA,647461.4431,19779.65613,405.6957946,4073.122587,196.945963,12957361.34
Timor-Leste,TLS,38029.85376,1050.710094,23.54693098,235.8429777,11.46095668,753480.6052
Togo,TGO,535176.5477,9226.683156,226.4164906,2256.117733,113.5205115,7293118.176
Tonga,TON,7302.801086,71.53779249,1.634292831,16.39562633,0.511953329,52232.71392
Trinidad and Tobago,TTO,6152.031031,485.3488208,10.57482516,106.0311972,12.61161917,337974.4677
Tunisia,TUN,3582.481366,5999.590667,123.5812115,1240.819621,50.04261572,3945849.532
Turkey,TUR,22950.72502,41595.28651,841.2295959,8442.438627,216.8278827,26887321.19
Turkmenistan,TKM,187856.744,4047.487846,93.65770451,937.332999,39.13840485,2996161.709
Uganda,UGA,5133187.1,55551.2545,1330.127777,13294.61749,427.2439448,42666757.56
Ukraine,UKR,3134.18325,4394.314746,97.01800895,974.1913508,103.7666262,3098529.646
United Arab Emirates,ARE,27481.13188,3901.733594,80.73898453,810.7284396,32.5832241,2578488.661
United Kingdom,GBR,2054.858057,28623.27895,568.7226476,5711.236649,909.8544679,18164269.14
United States of America,USA,19516.11795,149335.6401,3038.474836,30505.92088,8775.892061,97067021.19
Uruguay,URY,244.6357055,1401.965244,28.73278774,288.4364409,15.11170776,917765.9512
Uzbekistan,UZB,974924.5814,20269.5334,455.9367053,4571.00268,190.286796,14576232.51
Vanuatu,VUT,25823.17758,326.4381181,7.400314703,74.21075031,2.314726667,236511.8962
Venezuela (Bolivarian Republic of),VEN,7917.305179,9850.527103,213.135446,2137.544085,376.216463,6811556.831
Viet Nam,VNM,51249.60066,35333.2341,739.6215724,7418.05366,360.1663276,23643987.02
Yemen,YEM,679620.6186,17644.75973,416.052392,4160.426247,167.9526489,13328699.05
Zambia,ZMB,1909544.317,26474.35646,629.6066281,6295.302811,202.7674661,20185392.84
Zimbabwe,ZWE,880531.7518,12706.15432,316.2223617,3160.555556,279.9083031,10142603.13
